Name or Link to Sequence,Internal ID
Humanized aequorin,Test_0148
Preferred aequorin,Test_0149
Preferred clytin II,Test_0150
Preferred Gaussia princeps luciferase,Test_0151
Humanized OG luciferase,Test_0152
Preferred OG luciferase,Test_0153
Humanized RR luciferase,Test_0154
Preferred RR luciferase,Test_0155
Preferred PP luciferase,Test_0156
Preferred Lc luciferase,Test_0157
https://www.ncbi.nlm.nih.gov/nuccore/FW361641.1,Test_0158
https://www.ncbi.nlm.nih.gov/nuccore/DL143697.1,Test_0159
https://www.ncbi.nlm.nih.gov/nuccore/JF727882.1,Test_0160
https://www.ncbi.nlm.nih.gov/nuccore/HZ783837.1,Test_0161
https://www.ncbi.nlm.nih.gov/nuccore/DQ421322.1,Test_0162
https://www.ncbi.nlm.nih.gov/nuccore/DQ421318.1,Test_0163
https://www.ncbi.nlm.nih.gov/nuccore/BD493373.1,Test_0164
https://www.ncbi.nlm.nih.gov/nuccore/AY995800.1,Test_0165
https://www.ncbi.nlm.nih.gov/nuccore/DQ667595.1,Test_0166
https://www.ncbi.nlm.nih.gov/nuccore/EF415639.1,Test_0167
https://www.ncbi.nlm.nih.gov/nuccore/EF415638.1,Test_0168
https://www.ncbi.nlm.nih.gov/nuccore/LQ263568.1,Test_0169
https://www.ncbi.nlm.nih.gov/nuccore/LQ468667.1,Test_0170
https://www.ncbi.nlm.nih.gov/nuccore/LQ263569.1,Test_0171
https://www.ncbi.nlm.nih.gov/nuccore/KF420121.1,Test_0172
https://www.ncbi.nlm.nih.gov/nuccore/HB649493.1,Test_0173
